name,label,type,size_x_mm,size_y_mm,size_z_mm,volume_mm3,parents
Body202,balestra_holder_down,PartDesign::Body,30.0,4.4,7.0,693.175319,Group
Body285,balestra_holder_top,PartDesign::Body,22.0,5.6,7.0,707.274438,Group
Body198,bodyshell_rear_holder,PartDesign::Body,220.0,18.0,14.0,21816.49228,Group010
Body306,boomerang_steeribg_block_dx,PartDesign::Body,29.0,20.0,9.0,2170.105855,Group
Body305,boomerang_steering_block_sx,PartDesign::Body,29.0,20.0,9.0,2170.105855,Group
Body186,bumper,PartDesign::Body,260.0,44.0,8.0,38237.188332,Group010
Body230,bumper_holder,PartDesign::Body,83.161336,45.0,14.0,19161.647562,Group010
Body234,chassis_4mm,PartDesign::Body,361.473012,90.008158,4.0,92589.733631,Group007 | chassis_4mm
chassis_4mm,chassis_4mm001,App::Link,361.473012,72.16897,60.125323,92589.733631,Assembly | GroundedJoint | Joint | Joint001 | Joint002 | Joint003 | Joint004
Body099,collar_wheel_3.50mm,PartDesign::Body,16.0,16.0,3.5,301.251247,Group001
Body279,collar_wheel_3mm,PartDesign::Body,16.0,16.0,3.0,258.215354,Group001
Body356,double_fan_support,PartDesign::Body,90.5,48.0,5.0,10180.840219,Group001
Body350,drive_shaft_plastic_cap,PartDesign::Body,13.5,10.5,6.0,390.212389,Group
Body251,drive_train_petcf,PartDesign::Body,20.002596,19.002562,30.0,6155.362052,Fusion004
Body348,drive_train_petcf001,PartDesign::Body,20.002596,19.002562,30.0,6143.516051,Fusion005
Body351,drive_train_petcf002,PartDesign::Body,20.002596,19.002562,30.0,5763.444525,Fusion006
Body338,esc_capacitor_plate,PartDesign::Body,14.5,12.0,35.0,2203.780965,Group001
Body139,esc_holder_light,PartDesign::Body,130.0,55.0,3.0,14567.603414,Group014
Body310,esc_holder_light_mobile,PartDesign::Body,74.0,55.0,3.0,10019.017673,Group014
Body181,esc_holder_rear,PartDesign::Body,70.0,88.0,12.0,24570.282849,Group003
Body320,esc_plate_rear,PartDesign::Body,49.0,110.0,3.0,13689.905487,Group002
Body238,fan_support,PartDesign::Body,49.0,48.0,5.0,5641.76163,Group001
Body228,front_belt_holder,PartDesign::Body,10.5,14.0,17.0,878.402835,Group006
Body324,front_belt_tensioner_lower,PartDesign::Body,6.0,6.0,7.5,81.807073,Group006
Body325,front_belt_tensioner_lower_plate,PartDesign::Body,14.0,14.0,2.5,304.341788,Group006
Body317,front_belt_tensioner_new_3mm,PartDesign::Body,8.0,18.0,11.0,575.646159,Group006
Body313,front_belt_tensioner_new_4mm,PartDesign::Body,8.0,18.0,12.0,699.9747,Group006
