group,label,name,stl,triangles,size_x_mm,size_y_mm,size_z_mm
Validated_placements_from_source_joints,chassis_4mm001,chassis_4mm,stl/Validated_placements_from_source_joints/chassis_4mm001__chassis_4mm.stl,12788,361.473012,90.008158,4.0
Validated_placements_from_source_joints,rear_tower_left001,rear_tower_left,stl/Validated_placements_from_source_joints/rear_tower_left001__rear_tower_left.stl,2136,93.0,9.0,40.0
Validated_placements_from_source_joints,rear_tower_right001,rear_tower_right,stl/Validated_placements_from_source_joints/rear_tower_right001__rear_tower_right.stl,1970,93.0,9.0,50.0
Validated_placements_from_source_joints,lipo_holder_flex001,lipo_holder_flex,stl/Validated_placements_from_source_joints/lipo_holder_flex001__lipo_holder_flex.stl,1048,162.0,8.0,27.0
Validated_placements_from_source_joints,lipo_barrier_rear005,lipo_barrier_rear003,stl/Validated_placements_from_source_joints/lipo_barrier_rear005__lipo_barrier_rear003.stl,1136,20.0,40.0,27.0
Validated_placements_from_source_joints,lipo_barrier_rear006,lipo_barrier_rear004,stl/Validated_placements_from_source_joints/lipo_barrier_rear006__lipo_barrier_rear004.stl,1136,20.0,40.0,27.0
Provisional_placements_to_validate,rear_upperdeck,Body354,stl/Provisional_placements_to_validate/rear_upperdeck__Body354.stl,1988,99.392828,88.0,16.0
Provisional_placements_to_validate,front_upperdeck,Body347,stl/Provisional_placements_to_validate/front_upperdeck__Body347.stl,1000,108.299052,50.0,29.006226
Provisional_placements_to_validate,double_fan_support,Body356,stl/Provisional_placements_to_validate/double_fan_support__Body356.stl,2100,48.0,90.5,5.0
Placements_inferred_from_bearing_axes,shaft_rear,Body172,stl/Placements_inferred_from_bearing_axes/shaft_rear__Body172.stl,1292,11.5,219.8,11.5
Placements_inferred_from_bearing_axes,pulley_rear,Body246,stl/Placements_inferred_from_bearing_axes/pulley_rear__Body246.stl,11608,34.0,21.0,34.0
Placements_inferred_from_bearing_axes,shaft_front_hollow_petcf,Body253,stl/Placements_inferred_from_bearing_axes/shaft_front_hollow_petcf__Body253.stl,1668,12.0,90.0,11.581164
Placements_inferred_from_bearing_axes,pulley_front_capped,Fusion006,stl/Placements_inferred_from_bearing_axes/pulley_front_capped__Fusion006.stl,11260,30.0,30.0,30.0
Placements_inferred_from_bearing_axes,tower_right,Body255,stl/Placements_inferred_from_bearing_axes/tower_right__Body255.stl,1408,40.0,38.0,30.0
